pinot_broker_proactiveClusterChangeCheck_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.proactiveClusterChangeCheck",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot_broker_proactiveClusterChangeCheck_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.proactiveClusterChangeCheck",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot_broker_proactiveClusterChangeCheck_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.proactiveClusterChangeCheck",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot_broker_proactiveClusterChangeCheck_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.proactiveClusterChangeCheck",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot_broker_queriesKilled_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesKilled",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot_broker_queriesKilled_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesKilled",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot_broker_queriesKilled_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesKilled",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot_broker_queriesKilled_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesKilled",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot_broker_queriesKilled_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesKilled",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithJoins_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithJoins",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot_broker_queriesWithJoins_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithJoins",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithJoins_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithJoins",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithJoins_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithJoins",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot_broker_queriesWithJoins_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithJoins",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithWindow_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithWindow",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot_broker_queriesWithWindow_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithWindow",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithWindow_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithWindow",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot_broker_queriesWithWindow_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithWindow",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot_broker_queriesWithWindow_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queriesWithWindow",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot_broker_queryRateLimitDisabled_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.queryRateLimitDisabled",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot_broker_routingStatsManagerQueueSize_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.routingStatsManagerQueueSize",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot_broker_unhealthyServers_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.unhealthyServers",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot_broker_version,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.version.1_2_0",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot_broker_version_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.version",type="BrokerMetrics",attribute=Value",0,pinot.broker,,
pinot_broker_windowCount_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.windowCount",type="BrokerMetrics",attribute=Count",0,pinot.broker,,
pinot_broker_windowCount_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.windowCount",type="BrokerMetrics",attribute=FifteenMinuteRate",0,pinot.broker,,
pinot_broker_windowCount_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.windowCount",type="BrokerMetrics",attribute=FiveMinuteRate",0,pinot.broker,,
pinot_broker_windowCount_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.windowCount",type="BrokerMetrics",attribute=MeanRate",0,pinot.broker,,
pinot_broker_windowCount_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.broker.windowCount",type="BrokerMetrics",attribute=OneMinuteRate",0,pinot.broker,,
pinot_controller_InstanceDeleteError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstanceDeleteError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_InstanceDeleteError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstanceDeleteError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_InstanceDeleteError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstanceDeleteError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_InstanceDeleteError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstanceDeleteError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_InstanceDeleteError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstanceDeleteError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_InstancePostError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstancePostError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_InstancePostError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstancePostError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_InstancePostError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstancePostError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_InstancePostError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstancePostError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_InstancePostError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerInstancePostError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_LeaderPartitionCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeaderPartitionCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_LeadershipChangeWithoutCallback_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeadershipChangeWithoutCallback",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_LeadershipChangeWithoutCallback_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeadershipChangeWithoutCallback",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_LeadershipChangeWithoutCallback_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeadershipChangeWithoutCallback",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_LeadershipChangeWithoutCallback_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeadershipChangeWithoutCallback",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_LeadershipChangeWithoutCallback_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerLeadershipChangeWithoutCallback",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentMismatch_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentMismatch",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentMismatch_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentMismatch",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentMismatch_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentMismatch",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentMismatch_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentMismatch",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_RealtimeTableSegmentAssignmentMismatch_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerRealtimeTableSegmentAssignmentMismatch",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_SchemaUploadError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSchemaUploadError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_SchemaUploadError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSchemaUploadError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_SchemaUploadError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSchemaUploadError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_SchemaUploadError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSchemaUploadError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_SchemaUploadError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSchemaUploadError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_SegmentUploadError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSegmentUploadError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_SegmentUploadError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSegmentUploadError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_SegmentUploadError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSegmentUploadError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_SegmentUploadError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSegmentUploadError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_SegmentUploadError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerSegmentUploadError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableAddError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableAddError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableAddError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableAddError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableAddError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableAddError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableAddError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableAddError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableAddError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableAddError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableSchemaUpdateError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableSchemaUpdateError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableSchemaUpdateError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableSchemaUpdateError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableSchemaUpdateError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableSchemaUpdateError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableSchemaUpdateError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableSchemaUpdateError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableSchemaUpdateError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableSchemaUpdateError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantCreateError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantCreateError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableTenantCreateError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantCreateError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantCreateError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantCreateError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantCreateError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantCreateError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableTenantCreateError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantCreateError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantDeleteError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantDeleteError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableTenantDeleteError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantDeleteError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantDeleteError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantDeleteError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantDeleteError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantDeleteError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableTenantDeleteError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantDeleteError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantUpdateError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantUpdateError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableTenantUpdateError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantUpdateError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantUpdateError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantUpdateError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableTenantUpdateError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantUpdateError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableTenantUpdateError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableTenantUpdateError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_TableUpdateError_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableUpdateError",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_TableUpdateError_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableUpdateError",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_TableUpdateError_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableUpdateError",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_TableUpdateError_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableUpdateError",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_TableUpdateError_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.controllerTableUpdateError",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_controllerPeriodicTaskRun_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.BrokerResourceValidationManager.controllerPeriodicTaskRun",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_controllerPeriodicTaskRun_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.BrokerResourceValidationManager.controllerPeriodicTaskRun",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_controllerPeriodicTaskRun_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.BrokerResourceValidationManager.controllerPeriodicTaskRun",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_controllerPeriodicTaskRun_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.BrokerResourceValidationManager.controllerPeriodicTaskRun",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_controllerPeriodicTaskRun_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.BrokerResourceValidationManager.controllerPeriodicTaskRun",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_disabledTableCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.disabledTableCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_droppedBrokerInstances_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.droppedBrokerInstances",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_droppedMinionInstances_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.droppedMinionInstances",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_droppedServerInstances_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.droppedServerInstances",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_exists_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.dataDir.exists",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_failedToCopySchemaCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.failedToCopySchemaCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_failedToUpdateTableConfigCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.failedToUpdateTableConfigCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_fileOpLatencyMs_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.dataDir.fileOpLatencyMs",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_fixedSchemaTableCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.fixedSchemaTableCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_healthcheckBadCalls_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckBadCalls",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_healthcheckBadCalls_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckBadCalls",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_healthcheckBadCalls_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckBadCalls",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_healthcheckBadCalls_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckBadCalls",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_healthcheckBadCalls_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckBadCalls",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_healthcheckOkCalls_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckOkCalls",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_healthcheckOkCalls_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckOkCalls",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_healthcheckOkCalls_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckOkCalls",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_healthcheckOkCalls_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckOkCalls",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_healthcheckOkCalls_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.healthcheckOkCalls",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_helix_ZookeeperReconnects_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helixZookeeperReconnects",type="ControllerMetrics",attribute=Count",0,pinot.controller,,
pinot_controller_helix_ZookeeperReconnects_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helixZookeeperReconnects",type="ControllerMetrics",attribute=FifteenMinuteRate",0,pinot.controller,,
pinot_controller_helix_ZookeeperReconnects_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helixZookeeperReconnects",type="ControllerMetrics",attribute=FiveMinuteRate",0,pinot.controller,,
pinot_controller_helix_ZookeeperReconnects_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helixZookeeperReconnects",type="ControllerMetrics",attribute=MeanRate",0,pinot.controller,,
pinot_controller_helix_ZookeeperReconnects_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helixZookeeperReconnects",type="ControllerMetrics",attribute=OneMinuteRate",0,pinot.controller,,
pinot_controller_helix_connected_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helix.connected",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_helix_leader_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.helix.leader",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
pinot_controller_misconfiguredSchemaTableCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.controller.misconfiguredSchemaTableCount",type="ControllerMetrics",attribute=Value",0,pinot.controller,,
